"","Month","LongDes","TotItemQty","Brand"
"115",1,"BREYER NTRL CHRY VANILLA 56OZ",22,"OTHER"
"116",1,"BREYER NTRL FRCH VAN 56OZ",49,"OTHER"
"117",1,"BREYER VANILLA ICE CREAM 56OZ",88,"OTHER"
"118",1,"BREYERS BLASTS BDAY",19,"OTHER"
"119",1,"BREYERS CARB SMART CHOC",1,"OTHER"
"120",1,"BREYERS CARB SMART CHOC 48OZ",38,"OTHER"
"121",1,"BREYERS CO B GS THIN MINTS",20,"OTHER"
"122",1,"BREYERS CO BRAND M&MS",9,"OTHER"
"123",1,"BREYERS FAT FREE CRMY VAN 48OZ",9,"OTHER"
"124",1,"BREYERS LACTOSE FREE VAN 56OZ",47,"OTHER"
"125",1,"BREYERS NAT ROCKY ROAD 56OZ",28,"OTHER"
"126",1,"BREYERS NAT STRAWBERRY 56OZ",8,"OTHER"
"127",1,"BREYERS NSA VANILLA 48OZ",21,"OTHER"
"128",1,"BREYERS NTRL CHOC 48OZ",38,"OTHER"
"129",1,"BREYERS SNICKERS IC CRM 48OZ",47,"OTHER"
"130",1,"BREYERS WFL CONE W/HERSHEY CHOC CHP",36,"OTHER"
"131",1,"BRYER SMRT CARB VAN I/C 56OZ",47,"OTHER"
"132",1,"BRYERS OREO CHOC CKIE&CRM",18,"OTHER"
"133",1,"BRYRS CRBSMRT ALMD I/C BAR 6PK",86,"OTHER"
"134",1,"CADBURY CARAMELLO RED FAT IC BAR 12OZ",10,"OTHER"
"135",1,"CADBURY CHOC ALMD RED FAT IC BAR",4,"OTHER"
"136",1,"CIAO BELLA KEY LIME GRHM GEL SQ 3 OZ",21,"OTHER"
"137",1,"CLEMMYS IC CHOC CHIP",10,"OTHER"
"138",1,"CLEMMYS IC CHOCOLATE",7,"OTHER"
"139",1,"CLEMMYS IC TSTD ALMOND",1,"OTHER"
"140",1,"CLEMMYS IC VANILLA BEAN",11,"OTHER"
"141",1,"CLEMMYS SF IC BAR ORG CREAM",4,"OTHER"
"142",1,"COTTON CANDY BAR",29,"OTHER"
"143",1,"DAN OIKOS GRK FRZN YGRT CAFE LATTE",21,"OTHER"
"144",1,"DAN OIKOS GRK FRZN YGRT CHOC",24,"OTHER"
"145",1,"DAN OIKOS GRK FRZN YGRT KEY LIME",21,"OTHER"
"146",1,"DAN OIKOS GRK FRZN YGRT STRWBRY",15,"OTHER"
"147",1,"DIANA BANANAS BABIES DARK CHOC",51,"OTHER"
"148",1,"DIANAS BANABAS BABIES MILK CHOC",42,"OTHER"
"149",1,"DIANAS BANANAS BABIES MLK CHOC W/PNUT",21,"OTHER"
"150",1,"DREYER NSA SC VAN BEAN 48OZ",13,"OTHER"
"151",1,"DREYER'S REAL STRWBRRIES 48OZ",11,"OTHER"
"152",1,"DREYERS ASSORTED FRUIT BAR 12EA",95,"OTHER"
"153",1,"DREYERS BUTTER PECAN IC 48OZ",13,"OTHER"
"154",1,"DREYERS COOKIE DOUGH 48OZ",25,"OTHER"
"155",1,"DREYERS FRN VANILLA ICRM 48OZ",4,"OTHER"
"156",1,"DREYERS FRT BAR COCONUT 6CT",100,"OTHER"
"157",1,"DREYERS FRUIT BAR STRAW 6PK",127,"OTHER"
"158",1,"DREYERS LIGHT BUTTER PECAN 48OZ",36,"OTHER"
"159",1,"DREYERS LIGHT CHOCOLATE 48OZ",18,"OTHER"
"160",1,"DREYERS LIGHT FRENCH VAN 48OZ",20,"OTHER"
"161",1,"DREYERS LIGHT MINT 48OZ",23,"OTHER"
"162",1,"DREYERS LIGHT ROCKY ROAD 48OZ",36,"OTHER"
"163",1,"DREYERS LIGHT STRAWBERRY 48OZ",1,"OTHER"
"164",1,"DREYERS LIMITED EDITION 48OZ",16,"OTHER"
"165",1,"DREYERS LT CARM DELIGHT 48OZ",19,"OTHER"
"166",1,"DREYERS LT VANILLA 48OZ",40,"OTHER"
"167",1,"DREYERS MINT CHOC CHIP 48OZ",42,"OTHER"
"168",1,"DREYERS NEAPOLITAN 48OZ",17,"OTHER"
"169",1,"DREYERS NSA BUTTER PECAN 48OZ",35,"OTHER"
"170",1,"DREYERS NSA FDG TRACKS 48OZ",11,"OTHER"
"171",1,"DREYERS NSA VANILLA 48OZ",33,"OTHER"
"172",1,"DREYERS POMEGRANATE BARS",79,"OTHER"
"173",1,"DREYERS ROCKY ROAD ICRM 48OZ",9,"OTHER"
"174",1,"DREYERS VANILLA ICE CREAM 48OZ",34,"OTHER"
"175",1,"DREYERS YOG KEY LIME PIE",8,"OTHER"
"176",1,"DREYERS YOGURT FF VAN 48OZ",14,"OTHER"
"177",1,"DREYERS YOGURT VAN 48OZ",1,"OTHER"
"178",1,"DREYRS SC YOG CRML PRALINE",11,"OTHER"
"179",1,"DRUMSTICK NESTLE CRUNCH DPED",194,"OTHER"
"180",1,"DRUMSTICK VANILLA",70,"OTHER"
"181",1,"DRYERS SC MINT COOKIE CRNCH",7,"OTHER"
"182",1,"DRYRD FRUIT BAR NSA VARIETY 12CT",122,"OTHER"
"183",1,"DRYRS LOADED BUTTERFINGER 48OZ",21,"OTHER"
"184",1,"DRYRS LT S/CHRN FDG TRACKS 48OZ",6,"OTHER"
"185",1,"DRYRS LT S/CHRN LIMITED 48OZ",4,"OTHER"
"186",1,"DRYRS LT S/CHRN VAN BEAN 48OZ",25,"OTHER"
"187",1,"DRYRS SC YOG CAPPUCCINO CHP",4,"OTHER"
"188",1,"DRYRS SC YOG CHOC FDG BRWN",11,"OTHER"
"189",1,"ERTHBND FRM FRXN BRRY BSKT",91,"OTHER"
"190",1,"ERTHBND FRM FRZN BLBRRY",131,"OTHER"
"191",1,"ERTHBND FRM FRZN MNGO CHNK",52,"OTHER"
"192",1,"ESKIMO PIE NSA DARK CHOC",1,"OTHER"
"193",1,"FC PINEAPPLE SHERBET",2,"OTHER"
"194",1,"FREAL BL/RSP/POM SMOOTHIE 16OZ",12,"OTHER"
"195",1,"FREAL CAPPUCCINO COFFEE 16OZ",18,"OTHER"
"196",1,"FREAL FRZN CAPP COFFEE 16OZ",1,"OTHER"
"197",1,"FREAL MALT MILKSHAKE 16OZ",13,"OTHER"
"198",1,"FREAL MANGO SMOOTHIE 16OZ",13,"OTHER"
"199",1,"FREAL MILKSHAKE CHOC 16OZ",32,"OTHER"
"200",1,"FREAL MILKSHAKE CKIES N CRM 16OZ",91,"OTHER"
"201",1,"FREAL MILKSHAKE MINT CHIP 16OZ",8,"OTHER"
"202",1,"FREAL MILKSHAKE REESES 16OZ",72,"OTHER"
"203",1,"FREAL MILKSHAKE STRW 16OZ",12,"OTHER"
"204",1,"FREAL MILKSHAKE VAN 16OZ",32,"OTHER"
"205",1,"FREAL STRW/BAN SMOOTHIE 16OZ",17,"OTHER"
"206",1,"FRUITTARE FRT MILK BANANA",7,"OTHER"
"207",1,"FRUITTARE REAL FRT MANGO",14,"OTHER"
"208",1,"FRZN TALENTI GELATO SCLN PSTCHO",1,"OTHER"
"209",1,"GANDY I. CRM MOOSE TRACKS 64OZ",55,"OTHER"
"210",1,"GANDY I.CRM CARAMEL CARIBOU 64OZ",19,"OTHER"
"211",1,"GANDY I.CRM CHERRY VANILLA 64OZ",15,"OTHER"
"212",1,"GANDY I.CRM NEAPOLITAN 64OZ",17,"OTHER"
"213",1,"GANDY ICE CRM CHOCOLATE 64OZ",15,"OTHER"
"214",1,"GANDY ICE CRM VANILLA 64OZ",84,"OTHER"
"215",1,"GANDY SLIM & TRM VANILLA 64OZ",23,"OTHER"
"216",1,"GANDYS VANILLA ICE CREAM 4QT 128OZ",132,"OTHER"
"217",1,"GELATO CRML TFFEE CRNCH",2,"OTHER"
"218",1,"GELATO EXPRSSO CPPCCNO CR",3,"OTHER"
"219",1,"GELATO ROMAN CRM SWRL",2,"OTHER"
"220",1,"GELATO TIRAMISU CHOC CFFE",7,"OTHER"
"221",1,"HAAGEN DAZ CUP CHOC PNUT BTTR",133,"OTHER"
"222",1,"HAAGEN DAZ VAN YOGURT 14OZ",18,"OTHER"
"223",1,"HAAGEN DAZS BAR SLTD CRML",12,"OTHER"
"224",1,"HAAGEN DAZS BTR PECAN 14OZ",45,"OTHER"
"225",1,"HAAGEN DAZS CHOC ICE CREAM 14OZ",75,"OTHER"
"226",1,"HAAGEN DAZS CHOC PNUT BTTR",32,"OTHER"
"227",1,"HAAGEN DAZS COFFEE IC 14OZ",70,"OTHER"
"228",1,"HAAGEN DAZS CUP CHOCOLATE",72,"OTHER"
"229",1,"HAAGEN DAZS CUP COFFEE",171,"OTHER"
"230",1,"HAAGEN DAZS CUP VANILLA",144,"OTHER"
"231",1,"HAAGEN DAZS GELATO BLK CHRRY AMRTO",28,"OTHER"
"232",1,"HAAGEN DAZS GELATO CAPPUCCINO",25,"OTHER"
"233",1,"HAAGEN DAZS GELATO CUP SEA SLT CRML",6,"OTHER"
"234",1,"HAAGEN DAZS GELATO CUP VAN BEAN",25,"OTHER"
"235",1,"HAAGEN DAZS GELATO DRK CHOC CHP",34,"OTHER"
"236",1,"HAAGEN DAZS GELATO LIMONCELLO",26,"OTHER"
"237",1,"HAAGEN DAZS GELATO SEA SALT CRML",32,"OTHER"
"238",1,"HAAGEN DAZS GELATO STRACCIATELL",24,"OTHER"
"239",1,"HAAGEN DAZS GELATO VAN BEAN",10,"OTHER"
"240",1,"HAAGEN DAZS RUM RAISIN 14OZ",32,"OTHER"
"241",1,"HAAGEN-DAZ VAN BEAN 14OZ",24,"OTHER"
"242",1,"HAG DAZ VANILLA 28OZ",52,"OTHER"
"243",1,"HAGEN DAZ CHOCOLATE 28OZ",38,"OTHER"
"244",1,"HAGEN DAZ COFFEE 28OZ",68,"OTHER"
"245",1,"HAGEN DAZ STWBRRY IC 14OZ",32,"OTHER"
"246",1,"HAGEN DAZ VANILLA ICE CREAM 14OZ",48,"OTHER"
"247",1,"HAGEN DAZS CHOC CHOC CHP 14OZ",32,"OTHER"
"248",1,"HAGEN DAZS VAN SWSS ALMD 14OZ",40,"OTHER"
"249",1,"HD CARAMEL CONE CUP",35,"OTHER"
"250",1,"HD COFFEE & ALMOND CRUNCH",32,"OTHER"
"251",1,"HD SNACK VAN & ALMND",43,"OTHER"
"252",1,"HD VAN CHOC PNUT BTR BAR",8,"OTHER"
"253",1,"HGN DAZS CUP DULC DE LECHE",52,"OTHER"
"254",1,"IMAGINE ALMND DREAM CAPP SWRL",35,"OTHER"
"255",1,"JLLY LLMA SORBET 4SQZ PNAPLE",1,"OTHER"
"256",1,"JOLLY LLAMA SORBET 45QZUP BAN CCNUT",4,"OTHER"
"257",1,"JOLLY LLAMA SORBET 45QZUP MANGO",4,"OTHER"
"258",1,"JOLLY LLAMA SORBET 45QZUP RSPBRY",2,"OTHER"
"259",1,"JOLLY LLAMA SORBET 45QZUP STRAWBERRY",2,"OTHER"
"260",1,"JULIES BLACKBERRY SORBET BAR 4CT",3,"OTHER"
"261",1,"JULIES FUDGE BAR 4CT",5,"OTHER"
"262",1,"JULIES ICRM SANDWICH 3OZ",17,"OTHER"
"263",1,"KEMPS FF CHOC FRZN YOG",78,"OTHER"
"264",1,"KEMPS FF CRML PRALINE FRZN YOG 48OZ",102,"OTHER"
"265",1,"KEMPS FF NSA VAN YOG",83,"OTHER"
"266",1,"KEMPS FF STRWBRY FRZN YOG 48OZ",73,"OTHER"
"267",1,"KEMPS FF VAN FRZN YOG 48OZ",59,"OTHER"
"268",1,"KEMPS FRZ YGRT VANILLA 56OZ",1,"OTHER"
"269",1,"KEMPS LF BLK JCK CHRY YOG",84,"OTHER"
"270",1,"KEMPS LF CHOC ALMND",55,"OTHER"
"271",1,"KEMPS LF CRML BROWNIE YOG",68,"OTHER"
"272",1,"KEMPS LF MOOSE TRKS YOG",65,"OTHER"
"273",1,"KEMPS LF VAN BEAN YOG",119,"OTHER"
"274",1,"KLONDIKE HEATH BAR 6PK 4,5OZ",53,"OTHER"
"275",1,"KLONDIKE MINT CHOC CHIP",49,"OTHER"
