,X,month,LongDes,sum.ItemQuant.
381,2823,7,BB PREM DBL STRWBRY,19
382,2824,7,BB PREM HOMEMADE CHOC,19
383,2825,7,BB PREM HOMEMADE VAN,50
384,2826,7,BB PREM MINT CHOC CHIP,31
385,2827,7,BB PREM NEAPOLITAN,18
386,2828,7,BB PREM PNUT BTTR PANIC,31
387,2829,7,BB PREM ROCKY ROAD,20
388,2830,7,BB PREM TSTD ALMND FUDGE,17
389,2831,7,BB RAINBOW FREEZE SINGLE,157
390,2832,7,BB RAINBOW POP UPS SINGLE,137
391,2833,7,BB SMPLY VAN SNCWCH,79
392,2834,7,BB STRW FRUIT BARS,419
393,2835,7,BB STRWBRRY DPPD FRT BARS,166
394,2836,7,BB SUNDAE CUPS,82
395,2837,7,BB SWEET FREEDOM VAN,26
396,2838,7,BB SWT FRDM BAN SPLIT,18
397,2839,7,BB SWT FRDM BTR PECAN,13
398,2840,7,BB SWT FRDM BUNNY TRACKS,23
399,2841,7,BB SWT FRDM VRTY PK BARS,26
400,2842,7,BB TRPL DLGHT SNDWCH,77
401,2853,7,BLUE BELL AST SHERBET,672
402,2854,7,BLUE BELL BANANA POPS,177
403,2855,7,BLUE BELL BRTHDAY CK CUPS 12CT,89
404,2856,7,BLUE BELL CCNT FRUIT BARS,135
405,2857,7,BLUE BELL CHOC ECLAIR BAR,41
406,2858,7,BLUE BELL DBL VNLA IC SNDW,134
407,2859,7,BLUE BELL DREAM BAR,163
408,2860,7,BLUE BELL HMADE VAN CUPS 12CT,303
409,2861,7,BLUE BELL KRUNCH BARS,239
410,2862,7,BLUE BELL LIME FRUIT BARS,164
411,2863,7,BLUE BELL MINI CONE,125
412,2864,7,BLUE BELL MINI PARTY CONES,62
413,2865,7,BLUE BELL MOOO BAR,22
414,2866,7,BLUE BELL PEACH FRT BARS,119
415,2867,7,BLUE BELL STRWBRY SHRTCK BR,136
416,2872,7,BLUEBELL MOOO BARS,288
417,2873,7,BLUEBELL NS ADDED PT,160
418,2874,7,BLUEBELL SF BULLETS,122
419,2875,7,BLUEBELL SHERBET RAINBOW,233
420,2983,7,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,1
421,3302,8,BB BANANA FUDGE BAR,107
422,3303,8,BB BDAY PARTY SNDWCH,51
423,3304,8,BB BORDEAUX CHRY CHOC,41
424,3305,8,BB BULLETS,74
425,3306,8,BB CHAMP VAR PK CONES,109
426,3307,8,BB CHOC & VAN CUPS 12CT,77
427,3308,8,BB CHOC FUDGE BAR,51
428,3309,8,BB CKS/CREAM SANDWICH SINGLE,122
429,3310,8,BB CNTRY CONE CKS/CRM SGL,99
430,3311,8,BB CNTRY CONE VANILLA SINGLE,145
431,3312,8,BB CREME POPS,41
432,3313,8,BB DIPPED COCONUT FRT BARS,61
433,3314,8,BB FUDGE BOMBSTIK SINGLE,357
434,3315,8,BB HOMEMADE VANILLA CUP SGL,21
435,3316,8,BB ICE CREAM SANDWICH,143
436,3317,8,BB ICE CREAM SANDWICH SINGLE,140
437,3318,8,BB KRUNCH BAR SINGLE,39
438,3319,8,BB LIME FRUIT BAR SNGLE,3
439,3320,8,BB MINI SANDWICH,113
440,3321,8,BB MINI SWIRL CRML CONES,70
441,3322,8,BB MINI SWRL BDAY PRTY CONE,50
442,3323,8,BB MIXED BERRIES FRT BARS,75
443,3324,8,BB NEAO SANDWICH SINGLE,69
444,3325,8,BB PREM BUNNY TRACKS,65
445,3326,8,BB PREM BUTTER PECAN,61
446,3327,8,BB PREM CHUNKY CHOC CHIP,37
447,3328,8,BB PREM COOKIES N CREAM,96
448,3329,8,BB PREM DBL STRWBRY,54
449,3330,8,BB PREM HOMEMADE CHOC,94
450,3331,8,BB PREM HOMEMADE VAN,194
451,3332,8,BB PREM MINT CHOC CHIP,95
452,3333,8,BB PREM NEAPOLITAN,43
453,3334,8,BB PREM PNUT BTTR PANIC,63
454,3335,8,BB PREM ROCKY ROAD,52
455,3336,8,BB PREM TSTD ALMND FUDGE,35
456,3337,8,BB RAINBOW FREEZE SINGLE,87
457,3338,8,BB RAINBOW POP UPS SINGLE,104
458,3339,8,BB SMPLY VAN SNCWCH,144
459,3340,8,BB STRW FRUIT BARS,227
460,3341,8,BB STRWBRRY DPPD FRT BARS,74
461,3342,8,BB SUNDAE CUPS,13
462,3343,8,BB SWEET FREEDOM VAN,80
463,3344,8,BB SWT FRDM BAN SPLIT,31
464,3345,8,BB SWT FRDM BTR PECAN,44
465,3346,8,BB SWT FRDM BUNNY TRACKS,40
466,3347,8,BB SWT FRDM VRTY PK BARS,29
467,3348,8,BB TRPL DLGHT SNDWCH,119
