"","Month","LongDes","TotItemQty","Brand"
"144",7,"BLUE BELL CCNT FRUIT BARS",135,"BLUE BELL"
"145",7,"BLUE BELL CHOC ECLAIR BAR",41,"BLUE BELL"
"146",7,"BLUE BELL DBL VNLA IC SNDW",134,"BLUE BELL"
"147",7,"BLUE BELL DREAM BAR",163,"BLUE BELL"
"148",7,"BLUE BELL HMADE VAN CUPS 12CT",303,"BLUE BELL"
"149",7,"BLUE BELL KRUNCH BARS",239,"BLUE BELL"
"150",7,"BLUE BELL LIME FRUIT BARS",164,"BLUE BELL"
"151",7,"BLUE BELL MINI CONE",125,"BLUE BELL"
"152",7,"BLUE BELL MINI PARTY CONES",62,"BLUE BELL"
"153",7,"BLUE BELL MOOO BAR",22,"BLUE BELL"
"154",7,"BLUE BELL PEACH FRT BARS",119,"BLUE BELL"
"155",7,"BLUE BELL STRWBRY SHRTCK BR",136,"BLUE BELL"
"156",7,"BLUEBELL MOOO BARS",288,"BLUE BELL"
"157",7,"BLUEBELL NS ADDED PT",160,"BLUE BELL"
"158",7,"BLUEBELL SF BULLETS",122,"BLUE BELL"
"159",7,"BLUEBELL SHERBET RAINBOW",233,"BLUE BELL"
"160",8,"BBELL ASST FLAVOR PINTS",2350,"BLUE BELL"
"161",8,"BLUE BELL AST SHERBET",73,"BLUE BELL"
"162",8,"BLUE BELL BANANA POPS",97,"BLUE BELL"
"163",8,"BLUE BELL BRTHDAY CK CUPS 12CT",42,"BLUE BELL"
"164",8,"BLUE BELL CCNT FRUIT BARS",61,"BLUE BELL"
"165",8,"BLUE BELL CHOC ECLAIR BAR",24,"BLUE BELL"
"166",8,"BLUE BELL DBL VNLA IC SNDW",62,"BLUE BELL"
"167",8,"BLUE BELL DREAM BAR",115,"BLUE BELL"
"168",8,"BLUE BELL HMADE VAN CUPS 12CT",81,"BLUE BELL"
"169",8,"BLUE BELL KRUNCH BARS",131,"BLUE BELL"
"170",8,"BLUE BELL LIME FRUIT BARS",106,"BLUE BELL"
