"","month","LongDes","sum(ItemQuant)"
"209",1,"DRYRS LT S/CHRN LIMITED 48OZ",4
"210",1,"DRYRS LT S/CHRN VAN BEAN 48OZ",25
"211",1,"DRYRS SC YOG CAPPUCCINO CHP",4
"212",1,"DRYRS SC YOG CHOC FDG BRWN",11
"213",1,"ERTHBND FRM FRXN BRRY BSKT",91
"214",1,"ERTHBND FRM FRZN BLBRRY",131
"215",1,"ERTHBND FRM FRZN MNGO CHNK",52
"216",1,"ESKIMO PIE NSA DARK CHOC",1
"217",1,"FC PINEAPPLE SHERBET",2
"218",1,"FREAL BL/RSP/POM SMOOTHIE 16OZ",12
"219",1,"FREAL CAPPUCCINO COFFEE 16OZ",18
"220",1,"FREAL FRZN CAPP COFFEE 16OZ",1
"221",1,"FREAL MALT MILKSHAKE 16OZ",13
"222",1,"FREAL MANGO SMOOTHIE 16OZ",13
"223",1,"FREAL MILKSHAKE CHOC 16OZ",32
"224",1,"FREAL MILKSHAKE CKIES N CRM 16OZ",91
"225",1,"FREAL MILKSHAKE MINT CHIP 16OZ",8
"226",1,"FREAL MILKSHAKE REESES 16OZ",72
"227",1,"FREAL MILKSHAKE STRW 16OZ",12
"228",1,"FREAL MILKSHAKE VAN 16OZ",32
"229",1,"FREAL STRW/BAN SMOOTHIE 16OZ",17
"230",1,"FRUITTARE FRT MILK BANANA",7
"231",1,"FRUITTARE REAL FRT MANGO",14
"232",1,"FRZN TALENTI GELATO SCLN PSTCHO",1
"233",1,"GANDY I. CRM MOOSE TRACKS 64OZ",55
"234",1,"GANDY I.CRM CARAMEL CARIBOU 64OZ",19
"235",1,"GANDY I.CRM CHERRY VANILLA 64OZ",15
"236",1,"GANDY I.CRM NEAPOLITAN 64OZ",17
"237",1,"GANDY ICE CRM CHOCOLATE 64OZ",15
"238",1,"GANDY ICE CRM VANILLA 64OZ",84
"239",1,"GANDY SLIM & TRM VANILLA 64OZ",23
"240",1,"GANDYS VANILLA ICE CREAM 4QT 128OZ",132
"241",1,"GELATO CRML TFFEE CRNCH",2
"242",1,"GELATO EXPRSSO CPPCCNO CR",3
"243",1,"GELATO ROMAN CRM SWRL",2
"244",1,"GELATO TIRAMISU CHOC CFFE",7
"245",1,"HAAGEN DAZ CUP CHOC PNUT BTTR",133
"246",1,"HAAGEN DAZ VAN YOGURT 14OZ",18
"247",1,"HAAGEN DAZS BAR SLTD CRML",12
"248",1,"HAAGEN DAZS BTR PECAN 14OZ",45
"249",1,"HAAGEN DAZS CHOC ICE CREAM 14OZ",75
"250",1,"HAAGEN DAZS CHOC PNUT BTTR",32
"251",1,"HAAGEN DAZS COFFEE IC 14OZ",70
"252",1,"HAAGEN DAZS CUP CHOCOLATE",72
"253",1,"HAAGEN DAZS CUP COFFEE",171
"254",1,"HAAGEN DAZS CUP VANILLA",144
"255",1,"HAAGEN DAZS GELATO BLK CHRRY AMRTO",28
"256",1,"HAAGEN DAZS GELATO CAPPUCCINO",25
"257",1,"HAAGEN DAZS GELATO CUP SEA SLT CRML",6
"258",1,"HAAGEN DAZS GELATO CUP VAN BEAN",25
"259",1,"HAAGEN DAZS GELATO DRK CHOC CHP",34
"260",1,"HAAGEN DAZS GELATO LIMONCELLO",26
"261",1,"HAAGEN DAZS GELATO SEA SALT CRML",32
"262",1,"HAAGEN DAZS GELATO STRACCIATELL",24
"263",1,"HAAGEN DAZS GELATO VAN BEAN",10
"264",1,"HAAGEN DAZS RUM RAISIN 14OZ",32
"265",1,"HAAGEN-DAZ VAN BEAN 14OZ",24
"266",1,"HAG DAZ VANILLA 28OZ",52
"267",1,"HAGEN DAZ CHOCOLATE 28OZ",38
"268",1,"HAGEN DAZ COFFEE 28OZ",68
"269",1,"HAGEN DAZ STWBRRY IC 14OZ",32
"270",1,"HAGEN DAZ VANILLA ICE CREAM 14OZ",48
"271",1,"HAGEN DAZS CHOC CHOC CHP 14OZ",32
"272",1,"HAGEN DAZS VAN SWSS ALMD 14OZ",40
"273",1,"HD CARAMEL CONE CUP",35
"274",1,"HD COFFEE & ALMOND CRUNCH",32
"275",1,"HD SNACK VAN & ALMND",43
"276",1,"HD VAN CHOC PNUT BTR BAR",8
"277",1,"HGN DAZS CUP DULC DE LECHE",52
"278",1,"IMAGINE ALMND DREAM CAPP SWRL",35
"279",1,"JLLY LLMA SORBET 4SQZ PNAPLE",1
"280",1,"JOLLY LLAMA SORBET 45QZUP BAN CCNUT",4
"281",1,"JOLLY LLAMA SORBET 45QZUP MANGO",4
"282",1,"JOLLY LLAMA SORBET 45QZUP RSPBRY",2
"283",1,"JOLLY LLAMA SORBET 45QZUP STRAWBERRY",2
"284",1,"JULIES BLACKBERRY SORBET BAR 4CT",3
"285",1,"JULIES FUDGE BAR 4CT",5
"286",1,"JULIES ICRM SANDWICH 3OZ",17
"287",1,"KEMPS FF CHOC FRZN YOG",78
"288",1,"KEMPS FF CRML PRALINE FRZN YOG 48OZ",102
"289",1,"KEMPS FF NSA VAN YOG",83
"290",1,"KEMPS FF STRWBRY FRZN YOG 48OZ",73
"291",1,"KEMPS FF VAN FRZN YOG 48OZ",59
"292",1,"KEMPS FRZ YGRT VANILLA 56OZ",1
"293",1,"KEMPS LF BLK JCK CHRY YOG",84
"294",1,"KEMPS LF CHOC ALMND",55
"295",1,"KEMPS LF CRML BROWNIE YOG",68
"296",1,"KEMPS LF MOOSE TRKS YOG",65
"297",1,"KEMPS LF VAN BEAN YOG",119
"298",1,"KLONDIKE HEATH BAR 6PK 4,5OZ",53
"299",1,"KLONDIKE MINT CHOC CHIP",49
"300",1,"KLONDIKE ORIGINAL VAN 6PK 4,5OZ",110
"301",1,"KLONDIKE RED FAT NSA 6EA",49
"302",1,"KLONDIKE VANILLA SANDWICH",79
"303",1,"LIFEWAY KEFIR TT MANGO",24
"304",1,"LIFEWAY KEFIR TT ORIGINAL",8
"305",1,"LIFEWAY KEFIR TT PMGRANT",17
"306",1,"LIFEWAY KEFIR TT STRWBRY",18
"307",1,"LUIGIS ITAL ICE VARTY PK",92
"308",1,"LUIGIS ITALIAN ICE CHERRY",75
"309",1,"LUIGIS ITALIAN ICE NS VRTY",40
"310",1,"M/MAID SFT FRZN LEMONADE",47
"311",1,"M/MAID SFT FRZN LIMEADE",51
"312",1,"MAGNOLIA ICE CREAM CCNUT",24
"313",1,"MAGNOLIA ICE CREAM TRPCL AVCDO",35
"314",1,"MAGNOLIA ICE CREAM TRPCL UBE",36
"315",1,"MAGNUM DBL CARAMEL IC BARS",114
"316",1,"MAGNUM DBL CARAMEL ICE CRM BARS",1
"317",1,"MAGNUM GOLD 3PK",44
"318",1,"MINUTE MAID JUICE BARS",37
"319",1,"MOUNDS ICRM BARS 6CT",16
"320",1,"NE CLASSIC DRMSTICK COMBO 8CT",209
"321",1,"NE CLASSIC DRMSTK VNLLA 8EA",264
"322",1,"NESTLE LIL DRUM CHOC SWIRL",55
"323",1,"OSD ND CHOC VELVET OG 32OZ",9
"324",1,"OSD ND CREAMY VANILLA OG 32OZ",23
"325",1,"OSD ND NEOPOLITAN 32OZ",10
"326",1,"POPSICLE FIRECRACKER JR",60
"327",1,"POPSICLE FUDGSICLE NSA",157
"328",1,"POPSICLE JLY RNCHR AWESOME TWOSOME",1
"329",1,"POPSICLE JOLLY RANCHER 20PK",48
"330",1,"POPSICLE OR/GR/CHRY 24EA",136
"331",1,"POPSICLE S/F OR/CH/GR 24PK",152
"332",1,"POPSICLE SCRIBBLERS 24EA",48
"333",1,"POPSICLE SF ORG/CHRY/GRP",83
"334",1,"POPSICLE SF TROPICALS 24PK",93
"335",1,"POPSICLE SOUR PATCH 18CT",33
"336",1,"RDRM VANILLA 16OZ",17
"337",1,"REESE'S ICE CREAM CUP",56
"338",1,"RICE DRM BITES VAN 6.6 OZ",13
"339",1,"RSH BWL MEAL IN A BWL ENGRY",1
"340",1,"RSH BWL MEAL IN A BWL OASIS",10
"341",1,"RSH BWL MEAL IN A BWL PWR",8
"342",1,"RSH BWL MEAL IN A BWL YOGA",9
"343",1,"RSH BWL ML IN A BWL ACAI GF",7
"344",1,"S COW TRUFFLE BAR CRML",63
"345",1,"S.COW CHOC.VAN SANDWICH 3CT",76
"346",1,"S/COW NSA VANILLA SANDWICH 6CT",72
"347",1,"SCOOPS BANANA NUT 64OZ",18
"348",1,"SCOOPS BUTTER PECAN 64OZ",33
"349",1,"SCOOPS CHOCOLATE 64OZ",42
"350",1,"SCOOPS CHOCOLATE CHIP 64OZ",40
"351",1,"SCOOPS COOKIES & CREAM 64OZ",44
"352",1,"SCOOPS LOWFAT CHOCOLATE 64OZ",6
"353",1,"SCOOPS LOWFAT VANILLA 64OZ",3
"354",1,"SCOOPS MUDSLIDE COFFEE I/C 64OZ",33
"355",1,"SCOOPS NEOPOLITAN 64OZ",28
"356",1,"SCOOPS ROCKY ROAD 64OZ",30
"357",1,"SCOOPS STRAWBERRY 64OZ",15
"358",1,"SCOOPS TSTD ALMOND FUDGE 64OZ",76
"359",1,"SCOOPS VANILLA 64OZ",159
"360",1,"SCOOPS VANILLA FUDGE 64OZ",27
"361",1,"SK ICE CRM SAND LF VAN 6EA",107
"362",1,"SKINNY COW COOKIES & CRM",81
"363",1,"SKINNY COW FUDGE BAR",51
"364",1,"SLIM A BEAR 100CAL VAN BAR 2OZ",91
"365",1,"SLIM ABEAR 100CA TOFF/FRVAN 8CT",80
"366",1,"SNICKERS ICE CRM BARS",105
"367",1,"SO DEL BAR CNUT ICRM ALM",33
"368",1,"SO DEL CNUT BAN SPLT MINI SNDW",12
"369",1,"SO DEL COCNT CHOC ICRM",26
"370",1,"SO DEL COCONT CKY DGH",25
"371",1,"SO DEL COCONT MLK ICRM",10
"372",1,"SO DEL COCONT MOCHA",23
"373",1,"SO DEL COCONT VAN",26
"374",1,"SO DELICIO SYICRM MIN SAN VAN 2,3OZ",25
"375",1,"SORBETTO BLOOD ORANGE",4
"376",1,"SORBETTO LEMON",9
"377",1,"SOUR POP GREEN APPLE",29
"378",1,"SOY DELC CHOC OBESSN OG2 16OZ",12
"379",1,"STNYFLD FRZN YOG DRK CHOC 16OZ",22
"380",1,"STNYFLD LF MNT CHO YGRT OG2 16OZ",15
"381",1,"STNYFLD NF VAN FDG YGRT OG2 16OZ",15
"382",1,"STNYFLD NF VAN YOGRT OG2 16OZ",10
"383",1,"STNYFLD YGRT FRZ FF BLUBRY",12
"384",1,"STONYFIELD YGRT FRZ FF CHOC",22
"385",1,"STONYFIELD YGRT FRZ FF HONEY",7
"386",1,"STONYFIELD YGRT FRZ FF VANILLA",23
"387",1,"STONYFIELD YOGURT FRZ NF BAR VAN W/CHOC",13
"388",1,"SWT FRDM VAN ICRM CONE 6CT",29
"389",1,"SYDRM BUTTER PECAN 16OZ",26
"390",1,"TALENTI BLOOD ORANGE",1
"391",1,"TALENTI BLOOD ORANGE SORBETTO 16OZ",33
"392",1,"TALENTI GELATO CARAMEL COOKIE CRUNCH",106
"393",1,"TALENTI GELATO CARIBBEAN COCONUT 16OZ",79
"394",1,"TALENTI GELATO CH/PNT BTR CUP",122
"395",1,"TALENTI GELATO COOKIE",1
"396",1,"TALENTI GELATO CRRBN COCNT",1
"397",1,"TALENTI GELATO CRRBN COCNT 16OZ",1
"398",1,"TALENTI GELATO DBL DRK CHOC",1
"399",1,"TALENTI GELATO DOUBLE DARK CHOC",89
"400",1,"TALENTI GELATO MILK CHOC",120
"401",1,"TALENTI GELATO MILK CHOC 16OZ",1
"402",1,"TALENTI GELATO PISTACHIO",100
"403",1,"TALENTI GELATO RMN RSPBRY",1
"404",1,"TALENTI GELATO ROMAN RASPBERRY SORBETTO",86
"405",1,"TALENTI GELATO SCLN PSTCHO",1
"406",1,"TALENTI GELATO SEA SALT",77
"407",1,"TALENTI GELATO TAHITIAN VANILLA BEAN 16OZ",85
"408",1,"TALENTI GELATO VANILLA BEAN",1
"409",1,"TALENTI GELATO VANILLA BEAN 16OZ",1
"410",1,"TOFUTTI CUTIES CHOCOLATE",4
"411",1,"TOFUTTI CUTIES MNT CHOC 8CT",2
"412",1,"TOFUTTI CUTIES VANILLA 8CT",4
"413",1,"VT CHOC ICRM LITE",2
"414",1,"VT FUDGE SWIRL ICRM LITE",9
"415",1,"VT NEAPOLITAN ICRM LITE",1
"416",1,"VT STRWBRY ICRM LITE",6
"417",1,"WW BLACK CHERRY SWIRL GREEK FRZN YOG CUPS 12OZ",22
"418",1,"WW BLBRY SWRL BARS 6PK",71
"419",1,"WW CANDY BARS 6/2 FL OZ",86
"420",1,"WW CHOC SMTH BARS 12CT",25
"421",1,"WW CKIES&CRM BARS",41
"422",1,"WW DARK CHOCOLATE RASPBERRY BARS 12PK",72
"423",1,"WW DIVINE TRIPLE CHOCOLATE BARS",34
"424",1,"WW DRK CHOC RSPB BARS",1
"425",1,"WW ENGLSH TFEE CRCH BAR 12CT",139
"426",1,"WW GIANT CHOC FUDGE BAR 24OZ",159
"427",1,"WW GIANT LATTE BAR 6PK",39
"428",1,"WW LOW FAT ICECREAM CHOC FUDGE BROWNIE CUPS 12OZ",37
"429",1,"WW LOW FAT ICECREAM MINT CHIP CUPS 12OZ",28
"430",1,"WW PCH SWIRL BARS 6PK",44
"431",1,"WW SNACK SIZE VAN FUDGE SWRL CONES",50
"432",1,"WW SNCK SZ RD VELVET 8PK",17
"433",1,"WW SNK SZ CHOC FDG BARS",96
"434",1,"WW SNK SZ VP ICE CRM SNDWCH",19
"435",1,"WW STRAWBERRY SMOOTHIE BARS",48
"436",1,"WW STRAWBERRY SWIRL GREEK FRZN YOG CUPS 12OZ",14
"437",1,"WW STRW SMOOTHIE BARS",1
"438",1,"WW VAN RND ICE CRM SNDWCH 24OZ",63
"439",1,"YASSO BLBRY BAR 4PK",19
"440",1,"YASSO COCONUT BAR 4PK",35
"441",1,"YASSO MANGO BAR 4PK",12
"442",1,"YASSO RASP BAR 4PK",31
"443",1,"YASSO STRW BAR 4PK",18
"444",1,"YORK PEPPERMINT ICRM PATTY 6CT",19
"445",2,"*CV*DIPPIN DOTS BAN SPLIT",92
"446",2,"*CV*DIPPIN DOTS BIRTHDAY CAKE",10
"447",2,"*CV*DIPPIN DOTS CHOC",69
"448",2,"*CV*DIPPIN DOTS CKIE DGH",52
"449",2,"*CV*DIPPIN DOTS CKIES/CRM",36
"450",2,"*CV*DIPPIN DOTS COTTON CANDY",1
"451",2,"*CV*DIPPIN DOTS ICE RNBW",96
"452",2,"*CV*DIPPIN DOTS MINT CHOC",59
"453",2,"*CV*DIPPIN DOTS STRAWBERRY",31
"454",2,"*CV*DIPPIN DOTS VAN ICE CRM",61
"455",2,"*D* CLEMMYS IC COFFEE",5
"456",2,"*D*B&JS COLBERT AMERICONE DRM 16OZ",1
"457",2,"*D*HD CHOCOLATE CUP 24PK",1
"458",2,"*D*HD DULCE DE LECHE CUP 24PK",1
"459",2,"*D*HD VANILLA CUP 24PK",1
"460",2,"*D*TALENTI GELATO MILK CHOC",1
"461",2,"*R* DREYERS FRT BAR LIME 6CT",67
"462",2,"*R* HD DULCE DE LECHE CARAMEL 14OZ",48
"463",2,"*S*KEMP'S CANDY CANE ICECREAM",12
"464",2,"*S*KEMP'S CINNAMON ICECREAM",13
"465",2,"*S*KEMP'S HOLIDAY VANILLA ICECREAM",9
"466",2,"*S*KEMP'S PUMPKIN PIE ICECREAM",29
"467",2,"ALDENS ICE CREAM CHOC CHP 48OZ",8
"468",2,"ALDENS ICE CREAM CKIE CRM 48OZ",4
